epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.92333,0.67619,3.71728,1.15534,0.00568,0.98182,0.20972,0.16862,0.30307,3.44103,0.72339,8.125e-05,8.125e-05,8.125e-05
2,13.0625,0.53553,3.41251,1.04696,0.00722,1,0.36936,0.33637,0.31934,3.34536,0.67797,0.000165966,0.000165966,0.000165966
3,17.4371,0.54642,2.88237,1.02734,0.00614,0.98182,0.43871,0.4109,0.42739,2.94285,0.76817,0.000247794,0.000247794,0.000247794
4,20.8656,0.52295,2.37613,1.02958,0.80205,0.19546,0.61083,0.5528,0.52757,2.41473,0.86639,0.000326734,0.000326734,0.000326734
5,24.088,0.57644,1.95076,1.06933,0.81785,0.33275,0.6433,0.57083,0.57043,2.35382,0.91736,0.000402788,0.000402788,0.000402788
6,27.1008,0.55571,1.55955,1.04216,0.71286,0.60681,0.79652,0.60783,0.81598,2.17699,1.28428,0.000475953,0.000475953,0.000475953
7,31.1975,0.56499,1.50568,1.05592,0.6667,0.77691,0.79996,0.72431,0.57287,1.43591,1.0182,0.000546231,0.000546231,0.000546231
8,34.8066,0.52768,1.24009,1.03115,0.73431,0.7545,0.851,0.77299,0.6192,1.52552,1.10155,0.000552813,0.000552813,0.000552813
9,37.741,0.54565,1.21624,1.02002,0.69841,0.66708,0.85545,0.78393,0.60577,1.62094,1.06117,0.0005425,0.0005425,0.0005425
10,40.8843,0.55418,1.14287,1.03732,0.84843,0.70548,0.90768,0.7983,0.60874,1.44932,1.02276,0.000532187,0.000532187,0.000532187
11,44.8839,0.53719,1.04925,1.02343,0.82408,0.81136,0.97076,0.81549,0.63807,1.23684,1.05518,0.000521875,0.000521875,0.000521875
12,48.5886,0.52873,1.01652,1.02782,0.66752,0.98945,0.97617,0.81838,0.61875,0.9367,1.0204,0.000511562,0.000511562,0.000511562
13,51.5383,0.47879,0.93925,0.99113,0.85837,0.8678,0.98136,0.81855,0.59801,0.88423,1.03654,0.00050125,0.00050125,0.00050125
14,54.5737,0.49695,0.98223,1.0078,0.83388,0.99403,0.995,0.77773,0.73493,0.81518,1.17139,0.000490937,0.000490937,0.000490937
15,58.2763,0.48948,0.97309,0.99313,0.91002,0.88933,0.89442,0.74317,0.74191,0.82172,1.16627,0.000480625,0.000480625,0.000480625
16,62.2693,0.4585,0.86662,0.99274,0.93237,0.82747,0.94523,0.84701,0.5751,0.75831,0.97234,0.000470312,0.000470312,0.000470312
17,65.1159,0.46932,0.86087,0.9792,0.93907,0.85708,0.995,0.88988,0.50678,0.71164,0.88598,0.00046,0.00046,0.00046
18,69.9479,0.51468,0.877,1.01674,0.77123,0.99218,0.98591,0.8786,0.49142,0.83057,0.85863,0.000449688,0.000449688,0.000449688
19,74.0838,0.46896,0.86008,0.99215,0.91314,0.84601,0.94977,0.8766,0.48905,0.89122,0.86234,0.000439375,0.000439375,0.000439375
20,77.5771,0.44874,0.85645,0.96873,0.91716,0.90283,0.9347,0.85226,0.50791,0.74344,0.89898,0.000429063,0.000429063,0.000429063
21,80.6129,0.44783,0.81003,0.96201,0.93895,0.89871,0.94523,0.86224,0.45731,0.86556,0.83776,0.00041875,0.00041875,0.00041875
22,83.6299,0.46996,0.83584,0.99398,0.95346,0.86336,0.91747,0.86417,0.45654,0.79919,0.8358,0.000408438,0.000408438,0.000408438
23,87.6609,0.46259,0.81954,0.99005,0.91784,0.87769,0.92261,0.88556,0.4817,0.68813,0.87207,0.000398125,0.000398125,0.000398125
24,91.2978,0.43356,0.77654,0.98933,0.85697,1,0.995,0.89393,0.52446,0.68107,0.94921,0.000387813,0.000387813,0.000387813
25,94.327,0.42665,0.7632,0.96743,0.95154,0.88636,0.98742,0.87679,0.51323,0.60932,0.91972,0.0003775,0.0003775,0.0003775
26,97.2825,0.44729,0.78801,0.97447,0.94416,0.90909,0.9347,0.85056,0.50177,0.558,0.88243,0.000367187,0.000367187,0.000367187
27,100.989,0.42145,0.76831,0.96104,0.81442,1,0.995,0.86192,0.45928,0.52585,0.84531,0.000356875,0.000356875,0.000356875
28,105.088,0.39946,0.72009,0.95756,0.94926,0.90909,0.9347,0.8848,0.46263,0.59162,0.85244,0.000346563,0.000346563,0.000346563
29,108.029,0.43038,0.70541,0.9691,0.87426,0.90565,0.9347,0.89329,0.41338,0.57706,0.83907,0.00033625,0.00033625,0.00033625
30,111.13,0.40978,0.68681,0.95483,0.85611,0.94694,0.94977,0.88446,0.40516,0.57466,0.81283,0.000325938,0.000325938,0.000325938
31,114.532,0.4083,0.72188,0.97667,0.95436,0.8979,0.94977,0.88324,0.39586,0.60845,0.79755,0.000315625,0.000315625,0.000315625
32,118.794,0.3984,0.66541,0.95005,0.82282,1,0.995,0.89652,0.42614,0.52092,0.82393,0.000305312,0.000305312,0.000305312
33,121.842,0.37154,0.6398,0.93347,0.84173,1,0.995,0.9175,0.41151,0.49912,0.79912,0.000295,0.000295,0.000295
34,124.912,0.39534,0.65146,0.94964,0.84408,1,0.995,0.91851,0.40774,0.56837,0.8075,0.000284688,0.000284688,0.000284688
