epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8207,0.78599,2.85794,1.25933,0.00395,1,0.61175,0.44704,0.61929,2.75309,1.18067,0.00018337,0.00018337,0.00018337
2,14.3349,0.59597,1.80093,1.10209,0.00394,1,0.77863,0.60769,0.7589,2.32475,1.40521,0.000377084,0.000377084,0.000377084
3,19.5387,0.62059,1.27552,1.09899,0.00396,1,0.6562,0.45231,1.10122,2.43673,1.65028,0.000564196,0.000564196,0.000564196
4,23.1854,0.63694,1.18711,1.08082,0.76366,0.79444,0.87808,0.6473,0.98686,1.71555,1.85211,0.000744707,0.000744707,0.000744707
5,26.5852,0.60939,1.09865,1.06496,0.85267,0.85451,0.95864,0.70509,0.88061,1.50098,1.54119,0.000918617,0.000918617,0.000918617
6,30.7343,0.61488,1.04797,1.06566,0.83838,0.73011,0.8596,0.5788,1.03088,1.56869,1.67387,0.00108593,0.00108593,0.00108593
7,35.3258,0.65013,1.03237,1.08623,0.93354,0.85977,0.93084,0.77795,0.79652,1.12189,1.46105,0.00124663,0.00124663,0.00124663
8,38.6918,0.65634,1.00191,1.09202,0.77248,0.82888,0.85232,0.61605,0.87847,1.36573,1.67287,0.00140074,0.00140074,0.00140074
9,42.0491,0.63957,0.93773,1.06685,0.73142,0.95833,0.92851,0.68668,0.90074,1.16259,1.56068,0.00144696,0.00144696,0.00144696
10,46.7259,0.62069,0.85861,1.07644,0.89413,0.77883,0.93554,0.7363,0.81174,1.19595,1.44588,0.00141945,0.00141945,0.00141945
11,50.8198,0.60429,0.83907,1.04814,0.57618,0.76963,0.72813,0.6004,0.75034,1.91146,1.42903,0.00139195,0.00139195,0.00139195
12,54.1742,0.60433,0.84895,1.07058,0.69813,0.64512,0.62245,0.4227,1.05943,1.953,1.77524,0.00136444,0.00136444,0.00136444
13,57.5235,0.58448,0.81118,1.04286,0.89528,0.82619,0.95017,0.72916,0.84905,1.08839,1.39454,0.00133693,0.00133693,0.00133693
14,62.4291,0.57799,0.77568,1.05142,0.8321,0.80357,0.84632,0.63259,0.92119,1.34492,1.80307,0.00130943,0.00130943,0.00130943
15,65.9144,0.58252,0.73115,1.03218,0.86746,0.92262,0.95929,0.74153,0.70279,1.11577,1.29547,0.00128192,0.00128192,0.00128192
16,69.2224,0.55641,0.68507,1.01986,0.95777,0.92262,0.98959,0.82854,0.60873,0.88881,1.16791,0.00125442,0.00125442,0.00125442
17,72.8207,0.54753,0.68128,1.03257,0.9895,1,0.995,0.86694,0.55131,0.75456,1.06454,0.00122691,0.00122691,0.00122691
18,77.6221,0.5399,0.65444,1.00797,0.99278,1,0.995,0.82856,0.65255,0.71476,1.17082,0.00119941,0.00119941,0.00119941
19,80.8453,0.50543,0.6247,1.0024,0.93235,1,0.98885,0.86747,0.58046,0.7443,1.12183,0.0011719,0.0011719,0.0011719
20,84.3262,0.52662,0.64609,1.02715,0.97931,1,0.995,0.84089,0.62566,0.70616,1.18175,0.0011444,0.0011444,0.0011444
21,88.5631,0.52269,0.61717,1.01579,0.99429,1,0.995,0.86189,0.52765,0.63275,1.06378,0.00111689,0.00111689,0.00111689
22,92.8425,0.48961,0.57459,0.98775,0.95319,1,0.995,0.88596,0.52477,0.64671,1.06206,0.00108938,0.00108938,0.00108938
23,96.3189,0.51996,0.58979,1.00913,0.99303,1,0.995,0.87817,0.51878,0.54203,1.01684,0.00106188,0.00106188,0.00106188
24,99.7439,0.45443,0.49664,0.9734,0.99188,1,0.995,0.84964,0.52575,0.55279,1.05653,0.00103437,0.00103437,0.00103437
25,104.194,0.46252,0.53508,0.98326,0.99434,1,0.995,0.89502,0.45046,0.44951,0.99111,0.00100687,0.00100687,0.00100687
